X,uh,vh,Vh,ph,Y,uv,vv,Vv,pv
0.000,1.000,0.000,1.000,4.232,0.0000,0.0000,0.0000,0.000,3.3923
0.001,0.985,-0.002,0.985,4.204,0.0010,0.0184,-0.0027,0.019,3.3914
0.002,0.970,-0.004,0.970,4.175,0.0020,0.0367,-0.0054,0.037,3.3905
0.003,0.955,-0.006,0.955,4.147,0.0030,0.0551,-0.0082,0.056,3.3896
0.004,0.940,-0.008,0.940,4.119,0.0040,0.0734,-0.0109,0.074,3.3887
0.005,0.924,-0.010,0.924,4.090,0.0051,0.0916,-0.0137,0.093,3.3877
0.006,0.903,-0.012,0.903,4.037,0.0061,0.1070,-0.0186,0.109,3.3845
0.007,0.882,-0.013,0.882,3.985,0.0071,0.1224,-0.0235,0.125,3.3813
0.008,0.861,-0.015,0.861,3.932,0.0081,0.1378,-0.0283,0.141,3.3781
0.009,0.840,-0.017,0.840,3.880,0.0091,0.1532,-0.0332,0.157,3.3749
0.010,0.818,-0.019,0.819,3.829,0.0101,0.1683,-0.0382,0.173,3.3717
0.011,0.794,-0.020,0.794,3.793,0.0111,0.1803,-0.0445,0.186,3.3683
0.012,0.769,-0.022,0.769,3.758,0.0121,0.1923,-0.0507,0.199,3.3649
0.013,0.744,-0.024,0.744,3.722,0.0131,0.2043,-0.0569,0.212,3.3615
0.014,0.719,-0.025,0.719,3.686,0.0141,0.2163,-0.0632,0.225,3.3581
0.015,0.694,-0.027,0.695,3.653,0.0152,0.2278,-0.0695,0.238,3.3550
0.016,0.673,-0.029,0.673,3.635,0.0162,0.2365,-0.0760,0.248,3.3535
0.017,0.651,-0.031,0.652,3.618,0.0172,0.2451,-0.0826,0.259,3.3520
0.018,0.629,-0.032,0.630,3.600,0.0182,0.2537,-0.0891,0.269,3.3505
0.019,0.608,-0.034,0.609,3.582,0.0192,0.2623,-0.0957,0.279,3.3489
0.020,0.587,-0.036,0.588,3.565,0.0202,0.2704,-0.1020,0.289,3.3477
0.021,0.570,-0.038,0.571,3.555,0.0212,0.2761,-0.1076,0.296,3.3477
0.022,0.553,-0.040,0.554,3.545,0.0222,0.2818,-0.1132,0.304,3.3478
0.023,0.536,-0.041,0.538,3.534,0.0232,0.2875,-0.1187,0.311,3.3478
0.024,0.519,-0.043,0.521,3.524,0.0242,0.2932,-0.1243,0.318,3.3478
0.025,0.503,-0.045,0.505,3.514,0.0253,0.2983,-0.1294,0.325,3.3481
0.026,0.490,-0.047,0.492,3.508,0.0263,0.3017,-0.1332,0.330,3.3496
0.027,0.477,-0.049,0.480,3.501,0.0273,0.3051,-0.1370,0.334,3.3510
0.028,0.464,-0.051,0.467,3.495,0.0283,0.3085,-0.1408,0.339,3.3524
0.029,0.451,-0.053,0.454,3.488,0.0293,0.3118,-0.1445,0.344,3.3538
0.030,0.439,-0.056,0.443,3.482,0.0303,0.3146,-0.1476,0.348,3.3556
0.031,0.429,-0.058,0.433,3.477,0.0313,0.3162,-0.1491,0.350,3.3580
0.032,0.419,-0.060,0.424,3.472,0.0323,0.3177,-0.1506,0.352,3.3605
0.033,0.409,-0.063,0.414,3.467,0.0333,0.3192,-0.1521,0.354,3.3630
0.034,0.399,-0.065,0.405,3.463,0.0343,0.3207,-0.1536,0.356,3.3654
0.035,0.390,-0.068,0.396,3.458,0.0354,0.3217,-0.1542,0.357,3.3681
0.036,0.382,-0.070,0.389,3.455,0.0364,0.3216,-0.1533,0.356,3.3711
0.037,0.375,-0.073,0.382,3.451,0.0374,0.3216,-0.1524,0.356,3.3742
0.038,0.367,-0.076,0.375,3.447,0.0384,0.3215,-0.1516,0.355,3.3772
0.039,0.359,-0.079,0.368,3.443,0.0394,0.3214,-0.1507,0.355,3.3803
0.040,0.352,-0.082,0.361,3.440,0.0404,0.3208,-0.1490,0.354,3.3834
0.041,0.346,-0.085,0.356,3.437,0.0414,0.3192,-0.1461,0.351,3.3865
0.042,0.340,-0.088,0.351,3.434,0.0424,0.3176,-0.1431,0.348,3.3897
0.043,0.334,-0.091,0.346,3.431,0.0434,0.3160,-0.1402,0.346,3.3929
0.044,0.327,-0.094,0.341,3.427,0.0444,0.3144,-0.1373,0.343,3.3961
0.045,0.322,-0.098,0.336,3.425,0.0455,0.3121,-0.1337,0.340,3.3992
0.046,0.316,-0.101,0.332,3.422,0.0465,0.3089,-0.1293,0.335,3.4021
0.047,0.311,-0.105,0.328,3.419,0.0475,0.3058,-0.1249,0.330,3.4051
0.048,0.306,-0.109,0.325,3.416,0.0485,0.3027,-0.1206,0.326,3.4080
0.049,0.301,-0.112,0.321,3.414,0.0495,0.2995,-0.1162,0.321,3.4109
0.051,0.296,-0.116,0.318,3.411,0.0505,0.2957,-0.1115,0.316,3.4136
0.052,0.291,-0.120,0.315,3.409,0.0515,0.2911,-0.1064,0.310,3.4159
0.053,0.286,-0.124,0.312,3.406,0.0525,0.2865,-0.1013,0.304,3.4183
0.054,0.281,-0.128,0.309,3.404,0.0535,0.2820,-0.0963,0.298,3.4206
0.055,0.276,-0.132,0.306,3.402,0.0545,0.2774,-0.0912,0.292,3.4230
0.056,0.271,-0.136,0.304,3.400,0.0556,0.2721,-0.0862,0.285,3.4250
0.057,0.267,-0.140,0.301,3.398,0.0566,0.2664,-0.0812,0.278,3.4266
0.058,0.262,-0.144,0.299,3.396,0.0576,0.2606,-0.0761,0.272,3.4282
0.059,0.257,-0.149,0.297,3.394,0.0586,0.2549,-0.0711,0.265,3.4298
0.060,0.252,-0.153,0.295,3.392,0.0596,0.2491,-0.0661,0.258,3.4314
0.061,0.247,-0.157,0.293,3.390,0.0606,0.2429,-0.0615,0.251,3.4325
0.062,0.242,-0.161,0.290,3.388,0.0616,0.2363,-0.0571,0.243,3.4333
0.063,0.236,-0.165,0.288,3.387,0.0626,0.2298,-0.0527,0.236,3.4341
0.064,0.231,-0.169,0.286,3.385,0.0636,0.2233,-0.0483,0.228,3.4350
0.065,0.226,-0.173,0.284,3.384,0.0646,0.2167,-0.0439,0.221,3.4358
0.066,0.220,-0.176,0.282,3.383,0.0657,0.2100,-0.0402,0.214,3.4362
0.067,0.214,-0.179,0.279,3.382,0.0667,0.2032,-0.0367,0.206,3.4363
0.068,0.208,-0.183,0.277,3.381,0.0677,0.1963,-0.0333,0.199,3.4364
0.069,0.202,-0.186,0.274,3.380,0.0687,0.1895,-0.0298,0.192,3.4366
0.070,0.196,-0.189,0.272,3.380,0.0697,0.1826,-0.0264,0.185,3.4367
0.071,0.189,-0.191,0.269,3.380,0.0707,0.1758,-0.0237,0.177,3.4365
0.072,0.182,-0.193,0.265,3.380,0.0717,0.1691,-0.0213,0.170,3.4362
0.073,0.175,-0.195,0.262,3.380,0.0727,0.1623,-0.0188,0.163,3.4359
0.074,0.168,-0.197,0.259,3.380,0.0737,0.1555,-0.0164,0.156,3.4356
0.075,0.161,-0.198,0.255,3.381,0.0747,0.1487,-0.0140,0.149,3.4352
0.076,0.153,-0.198,0.250,3.382,0.0758,0.1422,-0.0123,0.143,3.4347
0.077,0.145,-0.197,0.245,3.384,0.0768,0.1357,-0.0108,0.136,3.4342
0.078,0.138,-0.197,0.240,3.386,0.0778,0.1293,-0.0092,0.130,3.4336
0.079,0.130,-0.196,0.235,3.388,0.0788,0.1228,-0.0077,0.123,3.4331
0.080,0.122,-0.195,0.230,3.389,0.0798,0.1163,-0.0062,0.117,3.4325
0.081,0.114,-0.192,0.223,3.393,0.0808,0.1102,-0.0053,0.110,3.4319
0.082,0.105,-0.187,0.215,3.396,0.0818,0.1041,-0.0045,0.104,3.4314
0.083,0.097,-0.183,0.208,3.399,0.0828,0.0980,-0.0037,0.098,3.4308
0.084,0.089,-0.179,0.200,3.403,0.0838,0.0919,-0.0029,0.092,3.4302
0.085,0.081,-0.175,0.193,3.406,0.0848,0.0858,-0.0021,0.086,3.4296
0.086,0.073,-0.167,0.183,3.411,0.0859,0.0800,-0.0017,0.080,3.4291
0.087,0.066,-0.159,0.172,3.417,0.0869,0.0742,-0.0013,0.074,3.4287
0.088,0.058,-0.151,0.162,3.422,0.0879,0.0685,-0.0010,0.068,3.4282
0.089,0.051,-0.143,0.151,3.427,0.0889,0.0627,-0.0007,0.063,3.4278
0.090,0.044,-0.134,0.141,3.433,0.0899,0.0569,-0.0003,0.057,3.4273
0.091,0.038,-0.123,0.128,3.437,0.0909,0.0512,-0.0002,0.051,3.4270
0.092,0.032,-0.111,0.115,3.442,0.0919,0.0456,-0.0002,0.046,3.4267
0.093,0.027,-0.099,0.102,3.446,0.0929,0.0399,-0.0001,0.040,3.4264
0.094,0.021,-0.087,0.089,3.451,0.0939,0.0343,0.0000,0.034,3.4261
0.095,0.015,-0.074,0.076,3.455,0.0949,0.0286,0.0001,0.029,3.4259
0.096,0.012,-0.060,0.061,3.457,0.0960,0.0229,0.0001,0.023,3.4257
0.097,0.009,-0.045,0.046,3.458,0.0970,0.0172,0.0000,0.017,3.4256
0.098,0.006,-0.030,0.030,3.460,0.0980,0.0115,0.0000,0.011,3.4255
0.099,0.003,-0.015,0.015,3.461,0.0990,0.0057,0.0000,0.006,3.4254
0.100,0.000,0.000,0.000,3.462,0.1000,0.0000,0.0000,0.000,3.4253